Locus_plate	Col	Row	F_R	Loc	Plate	Forward_P	Reverse_P
DAB-K	1	A	F25-R13	DAB	K	F25	R13
DAB-K	2	A	F25-R14	DAB	K	F25	R14
DAB-K	3	A	F25-R15	DAB	K	F25	R15
DAB-K	4	A	F25-R16	DAB	K	F25	R16
DAB-K	5	A	F25-R17	DAB	K	F25	R17
DAB-K	6	A	F25-R18	DAB	K	F25	R18
DAB-K	7	A	F25-R19	DAB	K	F25	R19
DAB-K	8	A	F25-R20	DAB	K	F25	R20
DAB-K	9	A	F25-R21	DAB	K	F25	R21
DAB-K	10	A	F25-R22	DAB	K	F25	R22
DAB-K	11	A	F25-R23	DAB	K	F25	R23
DAB-K	12	A	F25-R24	DAB	K	F25	R24
DAB-K	1	B	F26-R13	DAB	K	F26	R13
DAB-K	2	B	F26-R14	DAB	K	F26	R14
DAB-K	3	B	F26-R15	DAB	K	F26	R15
DAB-K	4	B	F26-R16	DAB	K	F26	R16
DAB-K	5	B	F26-R17	DAB	K	F26	R17
DAB-K	6	B	F26-R18	DAB	K	F26	R18
DAB-K	7	B	F26-R19	DAB	K	F26	R19
DAB-K	8	B	F26-R20	DAB	K	F26	R20
DAB-K	9	B	F26-R21	DAB	K	F26	R21
DAB-K	10	B	F26-R22	DAB	K	F26	R22
DAB-K	11	B	F26-R23	DAB	K	F26	R23
DAB-K	12	B	F26-R24	DAB	K	F26	R24
DAB-K	1	C	F27-R13	DAB	K	F27	R13
DAB-K	2	C	F27-R14	DAB	K	F27	R14
DAB-K	3	C	F27-R15	DAB	K	F27	R15
DAB-K	4	C	F27-R16	DAB	K	F27	R16
DAB-K	5	C	F27-R17	DAB	K	F27	R17
DAB-K	6	C	F27-R18	DAB	K	F27	R18
DAB-K	7	C	F27-R19	DAB	K	F27	R19
DAB-K	8	C	F27-R20	DAB	K	F27	R20
DAB-K	9	C	F27-R21	DAB	K	F27	R21
DAB-K	10	C	F27-R22	DAB	K	F27	R22
DAB-K	11	C	F27-R23	DAB	K	F27	R23
DAB-K	12	C	F27-R24	DAB	K	F27	R24
DAB-K	1	D	F28-R13	DAB	K	F28	R13
DAB-K	2	D	F28-R14	DAB	K	F28	R14
DAB-K	3	D	F28-R15	DAB	K	F28	R15
DAB-K	4	D	F28-R16	DAB	K	F28	R16
DAB-K	5	D	F28-R17	DAB	K	F28	R17
DAB-K	6	D	F28-R18	DAB	K	F28	R18
DAB-K	7	D	F28-R19	DAB	K	F28	R19
DAB-K	8	D	F28-R20	DAB	K	F28	R20
DAB-K	9	D	F28-R21	DAB	K	F28	R21
DAB-K	10	D	F28-R22	DAB	K	F28	R22
DAB-K	11	D	F28-R23	DAB	K	F28	R23
